[2026-02-10T21:30:29.820+0000] {local_task_job_runner.py:120} INFO - ::group::Pre task execution logs
[2026-02-10T21:30:33.356+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143636853891.parquet -> /tmp/minio_downloads/customers_143636853891.parquet
[2026-02-10T21:30:33.382+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143636974156.parquet -> /tmp/minio_downloads/customers_143636974156.parquet
[2026-02-10T21:30:33.408+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143637178167.parquet -> /tmp/minio_downloads/customers_143637178167.parquet
[2026-02-10T21:30:33.435+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143637283781.parquet -> /tmp/minio_downloads/customers_143637283781.parquet
[2026-02-10T21:30:33.457+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143637406984.parquet -> /tmp/minio_downloads/customers_143637406984.parquet
[2026-02-10T21:30:33.478+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143637545089.parquet -> /tmp/minio_downloads/customers_143637545089.parquet
[2026-02-10T21:30:33.498+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143637731592.parquet -> /tmp/minio_downloads/customers_143637731592.parquet
[2026-02-10T21:30:33.518+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143642571727.parquet -> /tmp/minio_downloads/customers_143642571727.parquet
[2026-02-10T21:30:33.541+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143642713671.parquet -> /tmp/minio_downloads/customers_143642713671.parquet
[2026-02-10T21:30:33.566+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143642854201.parquet -> /tmp/minio_downloads/customers_143642854201.parquet
[2026-02-10T21:30:33.589+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143642966814.parquet -> /tmp/minio_downloads/customers_143642966814.parquet
[2026-02-10T21:30:33.613+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143643162627.parquet -> /tmp/minio_downloads/customers_143643162627.parquet
[2026-02-10T21:30:33.638+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143643313919.parquet -> /tmp/minio_downloads/customers_143643313919.parquet
[2026-02-10T21:30:33.658+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143643497105.parquet -> /tmp/minio_downloads/customers_143643497105.parquet
[2026-02-10T21:30:33.687+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143648814293.parquet -> /tmp/minio_downloads/customers_143648814293.parquet
[2026-02-10T21:30:33.713+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143648956100.parquet -> /tmp/minio_downloads/customers_143648956100.parquet
[2026-02-10T21:30:33.739+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143649087925.parquet -> /tmp/minio_downloads/customers_143649087925.parquet
[2026-02-10T21:30:33.763+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143649217435.parquet -> /tmp/minio_downloads/customers_143649217435.parquet
[2026-02-10T21:30:33.790+0000] {logging_mixin.py:188} INFO - Downloaded customers/date=2026-02-10/customers_143649349194.parquet -> /tmp/minio_downloads/customers_143649349194.parquet
